type,color,name,latitude,longitude
beer,d8ac42,CHATHAM STREET,53.340,-6.262,
beer,d8ac42,BLESSINGTON STREET,53.356,-6.268,
beer,d8ac42,BOLTON STREET,53.351,-6.269,
beer,d8ac42,GREEK STREET,53.346,-6.272,
beer,d8ac42,CHARLEMONT PLACE,53.330,-6.260,
beer,d8ac42,CHRISTCHURCH PLACE,53.343,-6.270,
beer,d8ac42,HIGH STREET,53.343,-6.275,
beer,d8ac42,CUSTOM HOUSE QUAY,53.347,-6.248,
beer,d8ac42,EXCHEQUER STREET,53.343,-6.263,
beer,d8ac42,DAME STREET,53.344,-6.266,
beer,d8ac42,EARLSFORT TERRACE,53.334,-6.258,
beer,d8ac42,ECCLES STREET,53.359,-6.269,
beer,d8ac42,FITZWILLIAM SQUARE WEST,53.336,-6.252,
beer,d8ac42,FOWNES STREET UPPER,53.344,-6.263,
beer,d8ac42,HARDWICKE STREET,53.355,-6.264,
beer,d8ac42,GEORGES QUAY,53.347,-6.252,
beer,d8ac42,GOLDEN LANE,53.340,-6.267,
beer,d8ac42,GRANTHAM STREET,53.334,-6.265,
beer,d8ac42,HERBERT PLACE,53.334,-6.245,
beer,d8ac42,JAMES STREET EAST,53.336,-6.248,
beer,d8ac42,LEINSTER STREET SOUTH,53.34218,-6.254,
beer,d8ac42,TOWNSEND STREET,53.345,-6.254,
beer,d8ac42,CUSTOM HOUSE,53.348,-6.254,
beer,d8ac42,CATHAL BRUGHA STREET,53.352,-6.260,
beer,d8ac42,MERRION SQUARE EAST,53.339,-6.246,
beer,d8ac42,MERRION SQUARE WEST,53.339,-6.251,
beer,d8ac42,MOLESWORTH STREET,53.341,-6.258,
beer,d8ac42,MOUNTJOY SQUARE WEST,53.356,-6.258,
beer,d8ac42,ORMOND QUAY UPPER,53.346,-6.268,
beer,d8ac42,PARNELL SQUARE NORTH,53.353,-6.265,
beer,d8ac42,PARNELL STREET,53.350,-6.265,
beer,d8ac42,PEARSE STREET,53.344,-6.250,
beer,d8ac42,PRINCES STREET / O'CONNELL STREET,53.349,-6.260,
beer,d8ac42,PORTOBELLO HARBOUR,53.330,-6.265,
